,3421dfc4-8085-4af7-bf73-a46e655fc2ca,d79be9fe-e617-4ce1-a141-d38971f6e9b4,6627912f-da9b-4406-a119-7b92c53af450,cb03d106-69f5-4504-bd05-38c0fef5b63c,39b30a7e-ff49-427d-bdb6-f387e56ba5db,ad580e35-08d5-45f7-9480-52b54c814d75,78e2585b-4ae2-4c55-a4a2-ed3707ed2fef,315e916f-fc68-4ab5-8a14-08999dd6dc5e,b21a6046-8129-4af9-a8fa-f6e293b73392,f3917a26-aeb8-49e7-b322-f84889bdf8bc,a637c17e-fdaf-4fa8-917d-e338e00a2eeb,f864bdfb-aefb-4667-bae5-ca10f3ed73ac,645c63c7-7855-4622-8f54-c28dc40456f7,1e94b693-df8f-4ad0-9f02-4aac6929bdaa,d06181ef-a682-4fc0-8a29-4828b94e563b,6cf861f2-93ff-445a-831f-e46ca50720a5,56ed28ea-6c2d-48c5-be37-142448850eae,262b810a-925a-4744-a150-392afbd819c1,09318e51-6794-429d-a7d2-381474c9aa53,4731525f-62dd-4128-ab56-3991b403e17e,081d1c6d-8f95-4d24-9176-a44641e41e8c,2962cada-f998-4cb6-bb25-e8ff2f486dd0,ad7b68aa-c031-4368-80c5-ee26e71594f4,d06aa7a1-c36f-4f5b-b5cd-fe1845dd2801,c595e8cc-74d4-4bfc-ac20-ee758c7e58a1,c3c1d772-792d-4dd0-a05d-45d4da5187e7,64a5e3a5-f202-4327-a074-5d38cd97709f,19a1c988-0e3d-4523-a394-cad4ac268497,a54a3753-066b-41f1-bbbf-cf1e154dba78,fb48d3a7-3eb6-4752-bea5-b5252851d43f,395dd978-ca54-4016-be0e-dce0019e32d0,ffebcace-a777-44c5-afd6-157aa070cee2,7ec02476-488d-412d-917e-364af6f0f9d9,de5bdbe5-90ea-4b56-8ab6-c0450c59d35d,3c7ebaa2-faf5-40ad-b7ce-f04b3dd899a4,b8c2f659-c140-430d-b0fc-1c8318604fbd,1a781432-3409-488e-9970-8201b78f62e4,54f4ef9a-6e4a-4283-aa26-2b7295954a52,7b9e151d-1eba-4328-b6f9-3eaf5217d360,dc100bb5-43c7-44a4-ae39-9ebd8ddfed97,d311d20b-f4a6-476e-afcc-bdd287be116c,d88ae8de-86fd-4dc6-b59d-d3e32f6b3908,7467fcab-0da1-496a-b193-be6b7c6c5d44,4201a55f-5ec6-4a9d-adbe-c4930c6ca360,0dcda023-62b3-4872-966f-eb471f071d07,3ee26d15-dd49-4c71-9234-2ef50ef5bdee,34b30060-14af-4b99-9a04-b12337c51404,45f498f9-5c24-4cc0-b90a-60320417a9bd,8829514a-cb9f-47fb-aaeb-3167776f1062,b53660ec-ab0d-407f-be6f-684e58b28860,748f86ca-3b50-4ffa-b906-2232092c9a44,1b552dbc-6c3a-41ff-9590-43e5ca61b927,dba89696-c774-4ce0-9193-b735e68792a6,7a8ea59e-0205-458e-afc3-89c588ef7e8f,079df34d-ce0e-4b19-941f-b81b10db38fc,cee3fcf7-d49d-4889-9778-9ae768c39d82,e4ccc57d-4039-4ef0-98fe-283233bea8be,4ddd709e-f420-4586-8327-0e4da00cd9b5,808098d1-b48f-4b0d-93cc-0fdf217b2163,0f559518-8273-4252-927a-9751b0826aaf,d898b896-a46d-44b5-ab49-cb4889234036,8aa79db1-5df8-41c4-9c05-b69a23085da7,04424c3f-9418-4752-ba1d-5c6fda1cd6c2,75ad8bbf-c050-45ee-9376-29abae836ebd,abfc0fa2-800d-43b5-b2da-88131412cef4,7d7b1f64-58f4-458b-8bb4-a85c90692fa7,b2a608e2-a35d-47fc-9f64-9ea042b3e68f,50fd73e8-ef37-44ba-8081-de62507f79f7,0135e29b-678d-4188-a935-1d0bfec9450b,1b1be5b7-e341-42b7-842d-cc83b56785e1,76583011-ef2e-48a8-a1a9-e4989852de7f,acdd1849-7872-4f43-b301-8716681e0603,908de40a-25d7-4ad5-a45a-de9eb3709a77,530d0a7d-b289-44d2-b5e3-e8aea2953212,f5d5aba7-faf3-4c7b-a324-508931a37649,f2b9c865-6307-4fb4-97d4-70b4ccde5f38,93c8b989-b8b1-4b78-ac56-ec066775aceb,ed3ed941-897a-4d56-b925-0681281c4e1c,9e320169-d927-4e03-a1e4-78b1175e5833,5dd359a7-76b4-4458-9e6a-6a373b14eaac,ccbfb274-bf92-4d4e-bfe8-eb1626713253,5a0be539-f281-451c-b7f2-a63de0594947,fa4a42a7-9752-4fe1-850a-f7486ab28b0d,43620331-f715-42be-b915-1eaa0b3e2b08,6d8206cf-51e3-416f-a6d9-47de3c982a9a,a229dbd5-de78-4abe-bfcc-1716c1dff00f,138d0fd5-f669-45f2-b26b-4c6856dfd923,d54c1e02-5058-4a7b-822c-b94b1aa5437e,c27daf06-3a56-4b68-999c-d6f451a98e69,c959cf5e-4f69-4990-a662-cd355ca85cf7,2740572c-d3e1-441c-a957-78cc8bae56d2,bfe573c5-4a87-4a2d-a0e8-a5f12e491735,91280388-8cf6-4b93-ae2b-69d955368d1c,393066a0-8cbb-495d-aeae-06f131b2d12a,23e9fbde-fd65-4163-afbd-1394e0d1fa73,69a7c168-ac95-4fe8-bdcd-7866a6c6ab04,b20c3f09-9179-43ca-9fb7-e845e97c8fd5,614ee396-283c-4621-9834-cb914244cc52,ad3ddd76-3ff0-44b7-8ea7-56c1c896b4ee,8af8b090-dfe5-4e15-bc78-cf4a7d2b1dc8,daedb3c9-2dc0-496c-af1f-d1fd37ba7e86,9ea63ec1-ea3b-43ff-92cf-05aa50ccfafd,9fe6ae61-bcbd-4086-8e64-832fb018a439,b601a489-62e0-40c4-9c15-4031843afba4,265cae4d-4cf9-49e0-a02e-91c802b10e5a,69835f7b-13f1-4e3d-9f2e-c17e0f54c218,94abd890-c3d9-4925-9483-7480d4c865a6,3d75c635-4d81-4ce9-85e8-ce1f91b3b372,32f3be97-94fb-4a61-893a-8d60715c3513,8cf68358-747f-4351-8717-ba7933cb428b,52582e45-507b-45ce-b68f-19af8f9cd791,c0d52f0f-da00-4a52-9750-b718efed7ab8,44ad1518-dafe-4e57-bf41-64b7801b6fb8,ff3f7744-41bc-4f49-a081-dea48bf12145,8966412d-baea-44e1-84c4-6dafb13d799d,e2c8856d-6f7c-4730-9cbd-4a245606b62d,beacb7af-8b2d-40c6-95c4-369c098ca735,1640d273-06d6-444b-9141-cfbeab7852af,099c4c9a-9b78-4b7a-9f70-2faf4488bb56,64d692ac-92ce-4832-b7d7-4c241c481aef,ddaf655f-3dd6-4fe0-8f8f-bf442f7156db,96f816e3-8551-4bb5-9e45-37273ee6970f,402aca9f-c0db-499c-a551-805c0c2fecb9,776e13a6-ede1-4914-ba96-8feeaf4388c1,0ff16c36-6efb-43b4-8ea0-791355f3342a
add,53.0,24.0,104.0,134.0,165.0,91.0,15.0,110.0,28.0,76.0,8.0,114.0,9.0,102.0,32.0,67.0,2.0,61.0,45.0,221.0,101.0,49.0,58.0,150.0,87.0,4.0,360.0,138.0,4.0,50.0,105.0,98.0,73.0,106.0,2.0,58.0,75.0,67.0,17.0,49.0,85.0,22.0,50.0,38.0,50.0,9.0,29.0,48.0,9.0,195.0,124.0,31.0,77.0,117.0,2.0,33.0,23.0,21.0,20.0,76.0,3.0,18.0,24.0,76.0,125.0,30.0,46.0,51.0,32.0,103.0,38.0,91.0,65.0,341.0,71.0,13.0,250.0,30.0,93.0,78.0,123.0,16.0,14.0,45.0,65.0,24.0,26.0,67.0,77.0,25.0,8.0,74.0,1.0,39.0,48.0,94.0,43.0,50.0,26.0,99.0,79.0,34.0,21.0,20.0,2.0,88.0,26.0,50.0,106.0,55.0,12.0,28.0,33.0,16.0,90.0,164.0,27.0,18.0,192.0,7.0,18.0,10.0,20.0,171.0,4.0
remove,23.0,4.0,34.0,73.0,9.0,18.0,6.0,12.0,1.0,40.0,4.0,37.0,2.0,39.0,7.0,25.0,0.0,3.0,2.0,81.0,45.0,15.0,18.0,99.0,35.0,0.0,207.0,57.0,0.0,6.0,23.0,14.0,2.0,44.0,0.0,11.0,10.0,26.0,4.0,8.0,42.0,5.0,7.0,29.0,18.0,1.0,13.0,34.0,0.0,53.0,17.0,7.0,15.0,15.0,0.0,6.0,0.0,0.0,5.0,6.0,4.0,0.0,0.0,33.0,69.0,1.0,3.0,2.0,5.0,52.0,0.0,58.0,25.0,12.0,2.0,0.0,93.0,9.0,38.0,39.0,0.0,1.0,1.0,22.0,25.0,0.0,2.0,38.0,39.0,0.0,0.0,0.0,0.0,14.0,4.0,10.0,10.0,10.0,6.0,61.0,36.0,0.0,0.0,7.0,0.0,26.0,3.0,16.0,24.0,0.0,0.0,0.0,1.0,1.0,43.0,104.0,1.0,4.0,70.0,0.0,5.0,0.0,6.0,82.0,0.0
gotomooc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gotourl,3.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,6.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,5.0,2.0,2.0,4.0,5.0,3.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,9.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,7.0,5.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
pickup,30.0,10.0,19.0,18.0,10.0,3.0,4.0,18.0,10.0,19.0,4.0,18.0,8.0,17.0,13.0,10.0,2.0,14.0,2.0,16.0,19.0,10.0,19.0,19.0,19.0,2.0,19.0,17.0,3.0,11.0,23.0,19.0,0.0,12.0,2.0,10.0,10.0,20.0,10.0,18.0,25.0,10.0,12.0,13.0,13.0,10.0,14.0,10.0,10.0,19.0,19.0,3.0,19.0,29.0,2.0,10.0,10.0,10.0,9.0,3.0,3.0,11.0,5.0,19.0,19.0,16.0,36.0,5.0,4.0,25.0,10.0,10.0,19.0,30.0,19.0,10.0,16.0,18.0,10.0,29.0,10.0,10.0,10.0,2.0,10.0,10.0,10.0,18.0,23.0,5.0,3.0,10.0,1.0,22.0,25.0,10.0,10.0,20.0,17.0,16.0,12.0,10.0,10.0,10.0,3.0,18.0,16.0,12.0,21.0,10.0,10.0,10.0,2.0,6.0,19.0,18.0,22.0,2.0,33.0,3.0,3.0,8.0,4.0,18.0,2.0
reach,30.0,5.0,22.0,22.0,7.0,2.0,4.0,19.0,13.0,20.0,4.0,34.0,5.0,17.0,12.0,14.0,2.0,11.0,2.0,20.0,19.0,11.0,18.0,24.0,19.0,2.0,24.0,23.0,2.0,6.0,31.0,22.0,0.0,11.0,2.0,17.0,7.0,20.0,7.0,19.0,26.0,9.0,11.0,12.0,13.0,11.0,13.0,7.0,5.0,20.0,21.0,2.0,17.0,31.0,2.0,29.0,6.0,6.0,5.0,2.0,4.0,11.0,4.0,22.0,25.0,8.0,37.0,5.0,3.0,28.0,7.0,9.0,17.0,43.0,15.0,5.0,33.0,19.0,76.0,34.0,17.0,21.0,7.0,2.0,23.0,11.0,12.0,20.0,23.0,5.0,2.0,9.0,2.0,19.0,22.0,5.0,9.0,38.0,17.0,19.0,16.0,9.0,9.0,8.0,2.0,20.0,39.0,10.0,15.0,9.0,10.0,8.0,2.0,6.0,24.0,41.0,36.0,2.0,33.0,2.0,2.0,5.0,4.0,19.0,2.0
restart,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
selectmenu,5.0,4.0,3.0,5.0,2.0,13.0,4.0,3.0,8.0,8.0,3.0,10.0,4.0,3.0,2.0,4.0,4.0,6.0,4.0,6.0,2.0,4.0,3.0,10.0,2.0,6.0,17.0,4.0,4.0,7.0,8.0,5.0,18.0,12.0,4.0,2.0,2.0,4.0,3.0,11.0,6.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,6.0,9.0,4.0,12.0,6.0,3.0,14.0,4.0,3.0,9.0,10.0,12.0,6.0,5.0,3.0,22.0,10.0,8.0,2.0,13.0,3.0,7.0,12.0,9.0,14.0,3.0,7.0,3.0,5.0,6.0,8.0,4.0,3.0,4.0,5.0,8.0,3.0,6.0,5.0,38.0,2.0,3.0,6.0,9.0,8.0,31.0,8.0,6.0,7.0,18.0,6.0,2.0,3.0,10.0,3.0,2.0,7.0,2.0,3.0,3.0,2.0,3.0,3.0,11.0,4.0,12.0,9.0,4.0,15.0,2.0,2.0,2.0,3.0,5.0,7.0
start,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scoredelta,16.0,3.0,13.0,9.0,2.0,10.0,1.0,13.0,4.0,14.0,2.0,18.0,2.0,17.0,8.0,11.0,7.0,0.0,2.0,18.0,16.0,7.0,21.0,14.0,21.0,1.0,15.0,18.0,14.0,1.0,12.0,17.0,1.0,14.0,2.0,15.0,5.0,14.0,3.0,9.0,20.0,4.0,16.0,12.0,22.0,16.0,19.0,8.0,9.0,12.0,10.0,4.0,17.0,11.0,1.0,6.0,0.0,5.0,0.0,0.0,4.0,3.0,1.0,16.0,12.0,2.0,1.0,-3.0,1.0,13.0,13.0,13.0,17.0,6.0,11.0,6.0,13.0,16.0,7.0,21.0,5.0,9.0,6.0,6.0,10.0,8.0,12.0,16.0,18.0,5.0,3.0,1.0,2.0,14.0,15.0,8.0,-1.0,12.0,15.0,19.0,8.0,9.0,5.0,2.0,0.0,4.0,14.0,12.0,10.0,14.0,4.0,7.0,0.0,4.0,13.0,12.0,4.0,4.0,14.0,4.0,5.0,1.0,6.0,18.0,1.0
maxChapter,14.0,4.0,14.0,14.0,4.0,1.0,3.0,14.0,4.0,14.0,3.0,14.0,4.0,14.0,7.0,4.0,1.0,6.0,1.0,13.0,14.0,4.0,14.0,14.0,14.0,1.0,14.0,14.0,1.0,4.0,14.0,14.0,0.0,6.0,1.0,4.0,4.0,12.0,4.0,5.0,14.0,4.0,6.0,7.0,7.0,4.0,8.0,4.0,4.0,14.0,14.0,1.0,14.0,13.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,2.0,14.0,14.0,4.0,4.0,1.0,2.0,14.0,4.0,4.0,14.0,13.0,5.0,4.0,13.0,12.0,4.0,14.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,14.0,14.0,1.0,1.0,4.0,1.0,5.0,13.0,4.0,4.0,4.0,12.0,4.0,5.0,4.0,4.0,4.0,1.0,14.0,4.0,5.0,6.0,4.0,4.0,4.0,1.0,1.0,14.0,14.0,4.0,1.0,14.0,1.0,1.0,4.0,1.0,14.0,1.0
efficiency,-9.63522255158196,-27.375823346423513,-10.577214007366207,-11.267764077846183,-29.118792650222563,-29.98729271096141,-28.161300080092495,-11.710865477873696,-28.329501613174152,-9.738223659069533,-27.323903293006115,-12.011671753632989,-27.375823350105385,-10.163333836729862,-28.172767345810477,-28.648789019159672,-26.896250257456156,-28.430396093316983,-29.036316420992343,-26.762719199484355,-9.556273786359919,-28.762117717571037,-10.681124651100339,-11.227403381617052,-10.012795014742462,-27.381758073723248,-11.89084166676213,-10.33861079775779,-28.400327654404762,-28.700748766102627,-11.275825461378407,-10.763944546211777,-30.587530672563044,-28.868498126880453,-26.896250257420796,-28.17075322095164,-29.171543222070902,-27.14855058903851,-27.715691174615564,-28.879900759855296,-10.020362623524726,-27.812540997660204,-27.788068161141283,-27.716749954257875,-27.47491426615965,-27.550176733169728,-27.275739908537634,-28.572627661617684,-27.399353845247497,-11.076040417919554,-11.183658669231583,-28.7486343488965,-9.974261623411836,-25.619155478564807,-28.184104545808072,-28.104061841925976,-28.45033809444159,-27.69859674291056,-27.488301331115508,-29.827444010188813,-28.48037036191585,-28.0569943356462,-28.946421432132464,-9.9912419867237,-10.013786969716119,-28.320284951625077,-28.779817280441357,-29.160614138115193,-28.356652596858257,-10.74285214762499,-28.347683929031895,-28.750141513051872,-10.296399644631501,-27.1613586503184,-28.450338099709864,-27.765288114395563,-26.230205237026507,-26.841525524950338,-29.022648788785254,-10.747087773644878,-29.55165673300477,-28.474435635733894,-27.6084456391609,-29.39151969460845,-28.738020152767344,-27.981959155242105,-28.785648210111244,-10.137727080510896,-10.000432758592607,-29.54419653463622,-28.68800972707816,-28.20250192231802,-26.896250258885544,-28.69757922479528,-26.816207655940545,-28.762117725390247,-28.442174782717153,-28.3476839247783,-25.843889072727695,-28.80293970067869,-28.87193259974869,-28.020180364627386,-27.981959149626434,-28.04487297807495,-28.184104545768182,-10.997374954263133,-28.159942301470046,-28.73954340089089,-28.520955689070643,-28.13796340861671,-28.282544625918632,-27.94221882175607,-28.975691799146244,-28.824141906293587,-10.799131478495578,-12.227543170327365,-28.543428503626043,-28.035684540889594,-12.084811836424175,-28.600998349990594,-28.282544618930533,-27.509354738179752,-29.2827168343417,-11.0566290420613,-27.014033294097814
thoroughness,690.0,60.0,361.0,378.0,120.0,18.0,20.0,252.0,100.0,342.0,20.0,234.0,24.0,357.0,130.0,90.0,6.0,224.0,8.0,352.0,399.0,70.0,342.0,380.0,399.0,6.0,798.0,442.0,12.0,132.0,414.0,323.0,0.0,156.0,6.0,80.0,110.0,340.0,50.0,612.0,500.0,60.0,132.0,117.0,130.0,60.0,126.0,90.0,50.0,380.0,456.0,15.0,323.0,1102.0,6.0,90.0,70.0,60.0,54.0,15.0,15.0,88.0,35.0,285.0,399.0,160.0,792.0,50.0,24.0,1600.0,80.0,100.0,304.0,840.0,361.0,60.0,448.0,198.0,110.0,783.0,120.0,60.0,80.0,8.0,120.0,60.0,50.0,378.0,460.0,60.0,12.0,70.0,2.0,352.0,400.0,80.0,70.0,280.0,136.0,208.0,156.0,60.0,60.0,60.0,9.0,216.0,512.0,156.0,441.0,70.0,60.0,70.0,8.0,72.0,342.0,378.0,352.0,6.0,1254.0,15.0,9.0,48.0,32.0,414.0,6.0
fun,7.646584942726386,7.107796412675495,7.687300315032547,8.358837348939765,7.375685510223042,7.40162373927723,7.498961091929912,8.452271877022676,7.849483711653152,7.722745685901829,7.5400153970411035,8.732396824842185,7.617621415638956,7.988002965899534,8.02931166060081,7.793639997833021,5.39264524587136,7.954401064252212,6.699763852237351,8.593734514853585,7.564789671781442,8.30094655163526,8.015584296149664,8.37405696253413,7.529483254028818,6.145821634203223,9.006765351932366,7.921800473692729,7.52738454403992,7.6233657597929305,8.316994873255249,8.057808817758476,6.655983317477438,7.939505994760604,5.733761900397387,7.749541837148176,7.809812391807494,8.368733321503374,7.685483009464069,8.140730614354627,7.80953199019426,8.031206510997166,7.860151492094039,7.634016100897934,7.730958758516961,7.647655311704811,7.83352573594243,7.8266917079112766,7.263581162571124,8.063032674649197,7.8899786847111795,7.314671333957611,7.712949520347721,8.385140704671114,7.108481427452197,8.014468995615907,7.687445226751298,7.506882946469,7.237256848283263,7.339133068102542,7.730571465244172,7.548795149723324,7.6040988456527945,7.8240084101493945,7.937471120085788,8.017769649483357,8.366249596722685,7.323265762931502,7.204068247859755,8.237337744205162,7.637560275894652,7.660402684755631,7.76471290467438,8.82846263175408,8.067359808161157,7.484407968355587,8.178954114852191,8.153248745703078,8.896059534712977,8.223692892530211,8.177459361577956,8.22196834362229,7.110104927849257,7.4062333849368365,8.07171482417318,8.053392364952343,8.17213423420265,8.081184954776319,7.660687199344576,7.5410988443574505,6.846997335778801,7.403866373101079,6.507846207477469,8.530804535347709,8.28307109581856,8.323850888679239,7.7383242746496625,8.004512180817454,7.726521380966241,8.313106155792822,8.453289348827619,7.710235673573597,7.72467154301125,7.300482267295367,7.508433489675487,8.020888953447022,7.830515041484873,7.9239546922358715,8.332929910695931,8.394792988026978,7.680010268795787,7.286336909640539,7.117762525614102,7.796722089407206,8.499394123653518,8.984063918244129,7.9363216418962255,6.7725424735750765,8.690908487023904,6.958050024986151,6.309981912565445,7.104958059079981,7.188565292835475,8.061460052631702,6.537250861463963
completionTime,1927.8280000000002,92233721221.71477,1929.377,3726.563,92233721105.53976,119903836562.02812,101457093490.27354,4448.500999999999,92233721480.41777,1662.098,101457093725.46255,5909.0509999999995,92233721561.30777,2386.621,64563606478.67643,92233720937.93677,119903836544.41011,73786978426.26721,119903836549.19612,9223375128.504776,1277.086,92233722146.60077,2697.9219999999996,4055.513,1535.099,119903836602.6101,4368.984,1980.966,119903836565.07312,92233721676.93578,3879.8970000000004,2848.4829999999997,138350580552.8217,73786978141.61821,119903836540.17012,92233721190.19276,92233721701.62877,18446747698.88755,92233721458.72777,83010350482.12299,1995.2289999999998,92233721187.07376,73786978425.3842,64563606202.240425,64563605958.71542,92233721184.95377,55340233876.97265,92233721253.70576,92233721352.11377,2626.2019999999998,2340.9469999999997,119903836591.87411,1533.3410000000001,9223374719.086777,119903836549.83911,92233720772.65176,92233722229.73976,92233721611.30977,92233721338.41876,119903836582.32811,119903836545.59511,92233721194.91676,110680466195.56534,2183.44,1936.3220000000001,92233720886.04977,92233720834.19977,119903836602.58612,110680465180.83633,3421.028,92233721182.92278,92233720903.98677,1932.1149999999998,9223377967.425776,83010350444.08699,92233721333.34776,9223374166.504776,18446747167.745552,92233721023.96777,3418.708,92233721150.35876,92233721280.95377,92233720988.23776,119903836583.82811,92233720926.84377,92233721705.78278,92233721697.42377,2670.3109999999997,1652.7,119903836562.10312,119903836591.64612,92233721471.67177,119903836715.79912,83010352286.26498,27670119063.03533,92233722867.79576,92233722129.64076,92233720790.59776,18446745675.504555,92233721093.97377,83010351274.25499,92233721388.96777,92233721187.82877,92233721468.02977,119903836545.05612,2781.8559999999998,92233720878.68477,83010350376.74298,73786979806.6692,92233722157.54576,92233721096.01077,92233721259.69276,119903836545.63911,119903837178.07712,3748.3349999999996,7681.975,92233720949.39177,119903836573.79512,5120.2480000000005,119903836579.90312,119903836586.91411,92233721141.62978,119903836533.71411,2915.4569999999994,119903836662.54811
ch00completion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9223372036.854776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
