"Timestamp","Are you interested in video games?","Do you play video games?","How old are you?","What is your gender?","How long have you studied biology?","Are you interested in biology?","Have you ever heard about synthetic biology?","Have you ever heard about BioBricks?","Have you ever played an older version of Hero.Coli before?","Have you played the current version of Hero.Coli?","Have you played the arcade cabinet version of Hero.Coli?","Have you played the Android version of Hero.Coli?","In order to modify the abilities of the bacterium, you have to...","What are BioBricks and devices?","What is the name of this BioBrick?","What is the name of this BioBrick?","What is the name of this BioBrick?","What is the name of this BioBrick?","What does this BioBrick do?","What does this BioBrick do?","What does this BioBrick do?","What does this BioBrick do?","Pick the case where the BioBricks are well-ordered:","When does green fluorescence happen?","What happens when you unequip the movement device?","What is this?","What does this device do?","What does this device do?","What does this device do?","What does this device do?","What does this device do?","What does this device do?","What does this device do?","What does this device do?","Guess: what would a device producing l-arabinose do, if it started with a l-arabinose-induced promoter?","What is the species of the bacterium of the game?","What is the scientific name of the tails of the bacterium?","Find the antibiotic:","Guess: the bacterium would glow yellow...","You can write down remarks here.","Do not edit -  pre-filled anonymous ID"
"2017/10/16 1:51:54 PM GMT+2","Moderately","Moderately","14","Female","Until bachelor's degree","Extremely","Yes","No","No","No","No","No","Edit the DNA of the bacterium","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","E. Coli","Flagella","Ampicillin","If it produced BFP under purple light","","7ea5c999-8001-4eee-9cdf-580d0783ce5c"
"2017/10/16 1:53:04 PM GMT+2","Slightly","Rarely","18","Female","Until the end of high school","Extremely","Yes","Yes","No","No","No","No","Edit the DNA of the bacterium","RNA sequences","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Under blue light, when the GFP device is equipped","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","After being induced, it would produce more and more l-arabinose, because it would induce itself","E. Coli","I don't know","I don't know","If it produced YFP under cyan light","","5977184a-1be2-4725-9b48-f2782dc03efb"
"2017/10/16 1:54:50 PM GMT+2","Moderately","Moderately","18","Female","Until the end of middle school","A lot","Yes","No","No","No","No","No","Edit the DNA of the bacterium","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","I don't know","It generates green fluorescence","I don't know","I don't know","I don't know","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It would produce l-arabinose all the time","Hero.Coli","Flagella","Ampicillin","If it produced YFP under cyan light","","e63a2fc6-50bd-4417-a712-fe688bf8e242"
"2017/10/16 1:55:31 PM GMT+2","A lot","A lot","17","Female","Until the end of middle school","A lot","Yes","No","No","No","No","No","Edit the DNA of the bacterium","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","I don't know","Hero.Coli","Flagella","Ampicillin","If it produced YFP under cyan light","","2b91e6b2-d5ed-42e1-8bf5-dc23aeaf7e6a"
"2017/10/16 1:56:10 PM GMT+2","A lot","A lot","17","Female","Until the end of high school","Moderately","Yes","I don't know","No","No","No","No","Edit the DNA of the bacterium","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Under blue light, all the time","I don't know","A plasmid - it makes it possible to equip an additional device","I don't know","I don't know","I don't know","I don't know","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates antibiotic resistance","After being induced, it would produce more and more l-arabinose, because it would induce itself","Hero.Coli","Flagella","Ampicillin","If it produced YFP under cyan light","","bffd0877-e77e-470a-b0f9-a9cdc6ff0a09"
"2017/10/16 1:56:26 PM GMT+2","Extremely","Extremely","19","Male","Until bachelor's degree","A lot","Yes","No","No","No","No","No","Edit the DNA of the bacterium","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","E. Coli","Flagella","I don't know","I don't know","","97f6ae4f-e2a6-4721-8936-f759c8867f6a"
"2017/10/16 1:58:47 PM GMT+2","Slightly","Rarely","18","Female","Until the end of high school","Moderately","No","No","No","No","No","No","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I feel like I don't know anything.. ","3ef14300-4987-4b54-a56c-5b6d1f8a24a1"
"2017/10/16 2:01:02 PM GMT+2","Extremely","A lot","18","Female","Until bachelor's degree","A lot","I don't know","No","No","No","No","No","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Flagella","Ampicillin","If it produced RFP under yellow light","","6b5d392d-b737-49ef-99af-e8c445ff6379"
"2017/10/16 2:04:27 PM GMT+2","Slightly","Rarely","18 ","Female","Until bachelor's degree","Extremely","Yes","No","No","No","No","No","Edit the DNA of the bacterium","I don't know","Translator","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","E. Coli","I don't know","Ampicillin","If it produced YFP under cyan light","","5ecf601d-4eac-433e-8056-3a5b9eda0555"
"2017/10/16 3:07:57 PM GMT+2","A lot","Rarely","18","Female","Until the end of middle school","A lot","Yes","No","No","No","No","No","Edit the DNA of the bacterium","DNA sequences","Transcriptor","Promoter","Coding Sequence","RBS","It shows the end of the device","It controls when the device is active","It controls which protein is produced, and thus which ability is affected","It controls the level of expression, and thus how much the ability will be affected","Option 1","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence in presence of l-arabinose","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence","It would be active only in l-arabinose clouds","Hero.Coli","Flagella","Ampicillin","If it produced YFP under cyan light","","00dbbdca-d86c-4bc9-803c-0602e0153f68"
"2017/10/16 3:11:47 PM GMT+2","Moderately","Rarely","19","Female","Until the end of high school","A lot","Yes","Yes","No","Once","No","No","Edit the DNA of the bacterium","DNA sequences","Terminator","Procuror","Coding Sequence","I don't know","It shows the end of the device","It controls when the device is active","It controls which protein is produced, and thus which ability is affected","It controls the level of expression, and thus how much the ability will be affected","Option 1","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence in presence of l-arabinose","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence","It would be active only in l-arabinose clouds","Cellia","Flagella","Ampicillin","If it produced YFP under cyan light","","3685a015-fa97-4457-ad73-da1c50210fe1"
"2017/10/16 3:14:17 PM GMT+2","Slightly","Rarely","18","Female","Until the end of high school","Extremely","Yes","Yes","No","Once","No","No","Edit the DNA of the bacterium","DNA sequences","Terminator","Promoter","Coding Sequence","I don't know","It shows the end of the device","It controls when the device is active","It controls which protein is produced, and thus which ability is affected","It controls the level of expression, and thus how much the ability will be affected","Option 1","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","After being induced, it would produce more and more l-arabinose, because it would induce itself","Hero.Coli","Flagella","Ampicillin","If it produced YFP under cyan light","","5977184a-1be2-4725-9b48-f2782dc03efb"
"2017/10/16 3:18:50 PM GMT+2","Slightly","Rarely","18","Female","Until the end of high school","Moderately","No","Yes","No","Once","No","No","Divide the bacterium","I don't know","Terminator","I don't know","Fluorescence","GFP","It controls the level of expression, and thus how much the ability will be affected","I don't know","It controls which protein is produced, and thus which ability is affected","I don't know","Option 1","Under blue light, when the GFP device is equipped","Nothing","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence in presence of l-arabinose","It makes it possible to move faster","I don't know","I don't know","It generates green fluorescence in presence of l-arabinose","It makes it possible to move faster","It generates antibiotic resistance","I don't know","I don't know","E. Coli","Flagella","Ampicillin","If it produced YFP under cyan light","","3ef14300-4987-4b54-a56c-5b6d1f8a24a1"
"2017/10/16 3:22:25 PM GMT+2","Slightly","Rarely","18","Female","Until bachelor's degree","Extremely","Yes","Yes","No","Once","No","No","Edit the DNA of the bacterium","DNA sequences","Terminator","Promoter","Protein","RBS","It shows the end of the device","It controls when the device is active","It controls which protein is produced, and thus which ability is affected","It controls the level of expression, and thus how much the ability will be affected","Option 1","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It would be active only in l-arabinose clouds","E. Coli","Flagella","Ampicillin","If it produced GFP under yellow light","","5ecf601d-4eac-433e-8056-3a5b9eda0555"
"2017/10/16 3:22:44 PM GMT+2","A lot","A lot","17","Female","Until the end of high school","A lot","Yes","Yes","No","Multiple times","No","No","Edit the DNA of the bacterium","RNA sequences","Transcriptor","Promoter","Coding Sequence","GFP","It shows the end of the device","It controls when the device is active","It controls which protein is produced, and thus which ability is affected","It controls the level of expression, and thus how much the ability will be affected","Option 1","Under blue light, all the time","Flagella quickly disappear one by one","A plasmid - it makes it possible to equip an additional device","It generates green fluorescence in presence of l-arabinose","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","It generates green fluorescence","It makes it possible to move faster","It generates antibiotic resistance","It generates green fluorescence in presence of l-arabinose","After being induced, it would produce more and more l-arabinose, because it would induce itself","E. Coli","Flagella","Ampicillin","If it produced YFP under cyan light","","bffd0877-e77e-470a-b0f9-a9cdc6ff0a09"
