Timestamp,[]
Name: CDS,"{'1': '1', '5': '5', '2': '2', '3': '3', 'Aucun de ces éléments': 'None of these', 'Je ne sais pas': ""I don't know"", '4': '4'}"
Function: PR,"{'1': '1', '5': '5', '2': '2', '3': '3', 'Aucun de ces éléments': 'None of these', 'Je ne sais pas': ""I don't know"", '4': '4'}"
Function: RBS,"{'1': '1', '5': '5', '2': '2', '3': '3', 'Aucun de ces éléments': 'None of these', 'Je ne sais pas': ""I don't know"", '4': '4'}"
Function: Plasmid,"{'1': '1', '5': '5', '2': '2', '3': '3', 'Aucun de ces éléments': 'None of these', 'Je ne sais pas': ""I don't know"", '4': '4'}"
Name: Operator XXX,"{'1': '1', '5': '5', '2': '2', '3': '3', 'Aucun de ces éléments': 'None of these', 'Je ne sais pas': ""I don't know"", '4': '4'}"
Device: RBS:PCONS:FLHDC:TER XXX,"{'Elle permet de se déplacer plus vite': 'It makes it possible to move faster', 'Elle produit la fluorescence verte': 'It generates green fluorescence', 'Elle permet de résister aux antibiotiques': 'It generates antibiotic resistance', 'Les briques ne sont pas dans le bon ordre': 'The bricks are not well-ordered', 'Je ne sais pas': ""I don't know"", ""Elle produit la fluorescence verte en présence d'inducteur arabinose"": 'It generates green fluorescence in presence of arabinose inducer'}"
Device: PCONS:RBS:FLHDC:TER,"{'Elle permet de se déplacer plus vite': 'It makes it possible to move faster', 'Elle produit la fluorescence verte': 'It generates green fluorescence', 'Elle permet de résister aux antibiotiques': 'It generates antibiotic resistance', 'Les briques ne sont pas dans le bon ordre': 'The bricks are not well-ordered', 'Je ne sais pas': ""I don't know"", ""Elle produit la fluorescence verte en présence d'inducteur arabinose"": 'It generates green fluorescence in presence of arabinose inducer'}"
Device: PBAD:RBS:GFP:TER,"{'Elle permet de se déplacer plus vite': 'It makes it possible to move faster', 'Elle produit la fluorescence verte': 'It generates green fluorescence', 'Elle permet de résister aux antibiotiques': 'It generates antibiotic resistance', 'Les briques ne sont pas dans le bon ordre': 'The bricks are not well-ordered', 'Je ne sais pas': ""I don't know"", ""Elle produit la fluorescence verte en présence d'inducteur arabinose"": 'It generates green fluorescence in presence of arabinose inducer'}"
Device: PBAD:GFP:RBS:TER XXX,"{'Elle permet de se déplacer plus vite': 'It makes it possible to move faster', 'Elle produit la fluorescence verte': 'It generates green fluorescence', 'Elle permet de résister aux antibiotiques': 'It generates antibiotic resistance', 'Les briques ne sont pas dans le bon ordre': 'The bricks are not well-ordered', 'Je ne sais pas': ""I don't know"", ""Elle produit la fluorescence verte en présence d'inducteur arabinose"": 'It generates green fluorescence in presence of arabinose inducer'}"
Device: GFP:RBS:PCONS:TER XXX,"{'Elle permet de se déplacer plus vite': 'It makes it possible to move faster', 'Elle produit la fluorescence verte': 'It generates green fluorescence', 'Elle permet de résister aux antibiotiques': 'It generates antibiotic resistance', 'Les briques ne sont pas dans le bon ordre': 'The bricks are not well-ordered', 'Je ne sais pas': ""I don't know"", ""Elle produit la fluorescence verte en présence d'inducteur arabinose"": 'It generates green fluorescence in presence of arabinose inducer'}"
Device: PCONS:GFP:RBS:TER XXX,"{'Elle permet de se déplacer plus vite': 'It makes it possible to move faster', 'Elle produit la fluorescence verte': 'It generates green fluorescence', 'Elle permet de résister aux antibiotiques': 'It generates antibiotic resistance', 'Les briques ne sont pas dans le bon ordre': 'The bricks are not well-ordered', 'Je ne sais pas': ""I don't know"", ""Elle produit la fluorescence verte en présence d'inducteur arabinose"": 'It generates green fluorescence in presence of arabinose inducer'}"
Device: AMPR:RBS:PCONS:TER XXX,"{'Elle permet de se déplacer plus vite': 'It makes it possible to move faster', 'Elle produit la fluorescence verte': 'It generates green fluorescence', 'Elle permet de résister aux antibiotiques': 'It generates antibiotic resistance', 'Les briques ne sont pas dans le bon ordre': 'The bricks are not well-ordered', 'Je ne sais pas': ""I don't know"", ""Elle produit la fluorescence verte en présence d'inducteur arabinose"": 'It generates green fluorescence in presence of arabinose inducer'}"
Device: RBS:PCONS:AMPR:TER XXX,"{'Elle permet de se déplacer plus vite': 'It makes it possible to move faster', 'Elle produit la fluorescence verte': 'It generates green fluorescence', 'Elle permet de résister aux antibiotiques': 'It generates antibiotic resistance', 'Les briques ne sont pas dans le bon ordre': 'The bricks are not well-ordered', 'Je ne sais pas': ""I don't know"", ""Elle produit la fluorescence verte en présence d'inducteur arabinose"": 'It generates green fluorescence in presence of arabinose inducer'}"
Green fluorescence,"{'Je ne sais pas': ""I don't know"", 'Devant les portes, tout le temps': 'In front of the doors, all the time', 'Sous lumière bleue, tout le temps': 'Under blue light, all the time', 'Sous lumière bleue, quand la construction GFP est équipée': 'Under blue light, when the GFP device is equipped', 'Devant les portes, quand la construction GFP est équipée': 'In front of the doors, when the GFP device is equipped'}"
Unequip the movement device: effect,"{'La bactérie devient lumineuse': 'The bacterium glows', 'La bactérie meurt': 'The bacterium dies', 'Je ne sais pas': ""I don't know"", 'Rien': 'Nothing', ""Les flagelles disparaissent l'un après l'autre, rapidement"": 'Flagella quickly disappear one by one'}"
Device: PBAD:RBS:ARA:TER,"{""Elle produit de plus en plus d'arabinose après avoir été induite, puisqu'elle s'induit elle-même."": 'It produces more and more arabinose after being induced, because it induces itself', ""Elle produit de l'arabinose tout le temps."": 'It produces arabinose all the time', ""Elle n'est active que dans les nuages d'arabinose."": 'It is active only in arabinose clouds', 'Je ne sais pas': ""I don't know"", ""Elle ne produit rien puisqu'elle s'induit elle-même"": 'It produces nothing since it induces itself'}"
Remarks,[]
userId,[]
Language,[]
Temporality,[]
